name,guard_name,prefix

admin-list,admin,Admin
admin-create,admin,Admin
admin-edit,admin,Admin
admin-delete,admin,Admin
admin-status,admin,Admin
admin-details,admin,Admin
admin-trash,admin,Admin
admin-restore,admin,Admin
admin-permanent-delete,admin,Admin

role-list,admin,Role
role-create,admin,Role
role-edit,admin,Role
role-delete,admin,Role
role-details,admin,Role
role-trash,admin,Role
role-restore,admin,Role
role-permanent-delete,admin,Role

permission-list,admin,Permission
permission-create,admin,Permission
permission-edit,admin,Permission
permission-delete,admin,Permission
permission-details,admin,Permission
permission-trash,admin,Permission
permission-restore,admin,Permission
permission-permanent-delete,admin,Permission

credit-list,admin,Credit
credit-create,admin,Credit
credit-edit,admin,Credit
credit-delete,admin,Credit
credit-details,admin,Credit
credit-trash,admin,Credit
credit-restore,admin,Credit
credit-permanent-delete,admin,Credit

campaign-list,admin,Campaign
campaign-details,admin,Campaign

faqCategory-list,admin,FaqCategory
faqCategory-create,admin,FaqCategory
faqCategory-edit,admin,FaqCategory
faqCategory-delete,admin,FaqCategory
faqCategory-details,admin,FaqCategory
faqCategory-trash,admin,FaqCategory
faqCategory-restore,admin,FaqCategory
faqCategory-permanent-delete,admin,FaqCategory

faq-list,admin,Faq
faq-create,admin,Faq
faq-edit,admin,Faq
faq-delete,admin,Faq
faq-details,admin,Faq
faq-trash,admin,Faq
faq-restore,admin,Faq
faq-permanent-delete,admin,Faq

credit-transaction-list,admin,CreditTransaction
credit-transaction-create,admin,CreditTransaction
credit-transaction-edit,admin,CreditTransaction
credit-transaction-delete,admin,CreditTransaction
credit-transaction-details,admin,CreditTransaction
credit-transaction-status,admin,CreditTransaction
create-transaction-trash,admin,CreditTransaction
create-transaction-restore,admin,CreditTransaction
create-transaction-permanent-delete,admin,CreditTransaction
credit-transaction-payment,admin,CreditTransaction

order-list,admin,Order
order-details,admin,Order
order-status,admin,Order

feature-list,admin,Feature
feature-create,admin,Feature
feature-delete,admin,Feature
feature-status,admin,Feature

plan-list,admin,Plan
plan-create,admin,Plan
plan-edit,admin,Plan
plan-delete,admin,Plan
plan-details,admin,Plan
plan-status,admin,Plan
plan-trash,admin,Plan
plan-restore,admin,Plan
plan-permanent-delete,admin,Plan

repost-list,admin,Repost
repost-details,admin,Repost

repostRequest-list,admin,RepostRequest
repostRequest-details,admin,RepostRequest

admin-profile-list,admin,AdminProfile
admin-profile-create,admin,AdminProfile

application-setting-general,admin,ApplicationSetting
application-setting-database,admin,ApplicationSetting

notification-list,admin,Notification
notification-delete,admin,Notification
notification-details,admin,Notification
notification-mark-as-read,admin,Notification
notification-mark-all-as-read,admin,Notification
notification-get-unread-count,admin,Notification

user-list,admin,User
user-details,admin,User
user-delete,admin,User
user-status,admin,User
user-trash,admin,User
user-restore,admin,User
user-permanent-delete,admin,User

user-plane-list,admin,UserPlan
user-plane-create,admin,UserPlan
user-plane-delete,admin,UserPlan
user-plane-details,admin,UserPlan
user-plane-status,admin,UserPlan

feature-edit,admin,Feature

payment-create,admin,Payment
payment-details,admin,Payment
payment-success,admin,Payment
payment-cancel,admin,Payment






